permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10886,DIXIE GROUP INC,1986-11-25,4001,2273,"Carpets and Rugs",1.14999997615814,1,2019-12-31,1.14,18.08268,4.6155,0.96,247.659,15.271,4.01347834407721,0.834782626002409
11644,COMSTOCK RESOURCES INC -OLD,1987-08-28,23002,1311,"Crude Petroleum and Natural Gs",7.44999980926514,1,2014-12-31,6.81,319.10298,18.5725,-1.24,2274.337,-57.111,2.4929530839588,-0.166442957281406
26607,BIGLARI HOLDINGS INC,1972-12-14,3424,5812,"Eating Places",115.330001831055,1,2019-12-31,114.42,71.05482,992.4283,131.64,1139.309,45.38,8.60511821940133,1.14142025414026
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",7.5,1,2019-12-31,7.8595,13.4633235,20.5423,-10.15,89.983,-13.899,2.73897333333333,-1.35333333333333
59483,YRC WORLDWIDE INC,1972-12-14,11649,4213,"Trucking, Except Local",2.36999988555908,1,2008-12-31,2.87,170.28858,7.9953,-16.92,3966.113,-974.392,3.37354446669685,-7.13924085106384
63765,SOUTHWESTERN ENERGY CO,1972-12-14,9904,4923,"Natural Gas Transmis and Distr",2.26999998092651,1,2019-12-31,2.42,1309.71126,5.9977,1.65,6717,891,2.64215861250889,0.72687225280352
67838,CSS INDUSTRIES INC,1985-09-30,2556,2670,"Convrt Papr,Paprbrd,Ex Boxes",4.5,1,2019-03-31,5.99,52.93363,21.4927,-5.97,285.595,-53.545,4.77615555555556,-1.32666666666667
78018,CONSUMER PORTFOLIO SVCS INC,1992-10-22,25852,6159,"Misc Business Credit Instn",3.36999988555908,0,2019-12-31,3.37,75.92947,8.9939,0.24,2539.249,5.406,2.66881314700933,0.0712166196291085
84275,UNITED NATURAL FOODS INC,1996-11-01,63927,5140,"Groceries and Related Pds-Whsl",8.38000011444092,1,2019-07-31,9.86,521.45596,28.6214,-6.84,7180.965,-284.99,3.41544148080355,-0.816229105798328
85757,AEROCENTURY CORP,1998-01-16,66301,7359,"Equip Rental and Leasing, Nec",4.86999988555908,1,2019-12-31,4.5,6.957,15.0446,-10.78,149.596,-16.658,3.08924031900113,-2.21355241341293
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",0.772199988365173,0,2019-12-31,0.65,36.08085,3.959,-1.9,612.495,-88.949,5.12691020415788,-2.46050249757514
86799,CNX RESOURCES CORPORATION,1999-04-30,120093,1311,"Crude Petroleum and Natural Gs",8.31999969482422,1,2019-12-31,8.85,1651.79055,22.2915,-0.42,9060.806,-80.73,2.679266925198,-0.0504807710823929
87121,SALEM MEDIA GROUP INC,1999-07-01,121817,4832,"Radio Broadcasting Stations",1.44000005722046,0,2019-12-31,1.44,38.42352,7.108,-1.05,558.43,-27.839,4.93611091496768,-0.729166637692187
89449,KIRKLAND'S INC,2002-07-11,148391,5990,"Retail Stores, Nec",1.23000001907349,0,2019-01-31,10.22,148.2411,9.0176,0.24,277.148,3.78,7.33138200013411,0.195121948193775
89901,WHITING PETROLEUM CORP,2003-11-20,155393,1311,"Crude Petroleum and Natural Gs",6.80999994277954,0,2019-12-31,7.34,670.33284,44.0726,-2.64,7636.721,-241.166,6.47174748462795,-0.38766520149521
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",4.3600001335144,1,2019-12-31,4.4,2215.4,28.1728,0.9,101342,343,6.46165117827443,0.206422012027452
90313,CHINA AUTOMOTIVE SYSTEMS INC,2004-08-24,149683,3714,"Motor Vehicle Part,Accessory",3.20000004768372,1,2019-12-31,3.15,98.1981,9.2773,0.32,659.964,9.959,2.8991562067992,0.0999999985098838
90494,HIGHPOINT RESOURCES CORP,2004-12-10,162459,1311,"Crude Petroleum and Natural Gs",1.6599999666214,1,2019-12-31,1.69,356.08469,5.1415,-0.64,2156.052,-134.83,3.09728921890553,-0.385542176427023
90672,FREIGHTCAR AMERICA INC,2005-04-06,162742,3743,"Railroad Equipment",2.21000003814697,1,2019-12-31,2.07,26.26209,9.2385,-5.95,245.202,-75.183,4.1803166699247,-2.69230764583558
91128,GULFPORT ENERGY CORP,2006-02-28,26069,1311,"Crude Petroleum and Natural Gs",2.9300000667572,1,2019-12-31,3.04,485.52144,8.2311,-12.49,3882.819,-2002.358,2.80924908275167,-4.26279853768857
91262,ATLAS AIR WORLDWIDE HLDG INC,2006-05-31,61155,4522,"Air Transport, Nonscheduled",26.8700008392334,1,2019-12-31,27.57,713.26347,69.2737,-11.35,5385.641,-293.113,2.57810561356039,-0.422404155024352
91727,TRAVELCENTERS OF AMERICA INC,2007-02-01,148350,5500,"Auto Dealers, Gas Stations",17.6200008392334,1,2019-12-31,17.15,142.46505,68.7436,4.12,3230.895,33.345,3.90145270861354,0.233825187500913
92557,LIVE VENTURES INC,2008-02-01,66261,5700,"Home Furniture and Equip Store",7.99989986419678,1,2019-09-30,8.5735,15.655211,18.678,-2.11,122.453,-4.012,2.33477922437412,-0.263753301393586
92619,GRAN TIERRA ENERGY INC,2008-04-08,164046,1311,"Crude Petroleum and Natural Gs",1.20000004768372,0,2019-12-31,1.29,473.40678,2.8138,0.1,2044.664,38.69,2.34483324015802,0.083333330021964
