permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
11379,DESTINATION XL GROUP INC,1987-06-02,13381,5651,"Family Clothing Stores",2,1,1998-01-31,2.18699932,34.40368630292,5.2368,-1.86,116.399,-29.063,2.6184,-0.93
13777,AMERICAN SOFTWARE  -CL A,1983-02-28,1562,7372,"Prepackaged Software",2.25,1,1998-04-30,8.1875,186.1755625,4.4213,0.34,142.656,7.795,1.96502222222222,0.151111111111111
18286,RAYTECH CORP,1929-09-19,8964,3490,"Misc Fabricated Metal Prods",2.875,1,1998-12-31,2.875,9.835375,18.7948,4.81,173.804,16.357,6.53732173913043,1.67304347826087
24097,CLINICAL DATA INC,1983-04-27,3116,2836,"Biological Pds, Ex Diagnstics",1.5,1,1998-03-31,3.18699932,4.63389701128,3.1919,0.08,9.405,0.104,2.12793333333333,0.0533333333333333
26753,NATIONAL-STANDARD CO,1959-04-10,7777,3310,"Steel Wrk, RollandFinish Mill",2.75,0,1992-09-30,2.875,12.94325,5.6242,-1.34,113.939,-5.885,2.04516363636364,-0.487272727272727
32299,GOLDFIELD CORP,1962-07-02,5218,1623,"Water,Sewer,Pipeline Constr",0.1875,0,1998-12-31,0.25,6.71375,0.4417,-0.02,14.213,-0.61,2.35573333333333,-0.106666666666667
75526,ALMOST FAMILY INC,1986-12-03,13800,8082,"Home Health Care Services",2.6875,0,1998-03-31,7.75,24.18,7.0779,0.45,49.533,1.412,2.63363720930233,0.167441860465116
83142,APPLICA INC,1977-03-14,11531,3634,"Electric Housewares and Fans",5.875,0,1998-12-31,7.75,171.20525,14.6674,1.43,742.737,28.752,2.49657872340426,0.243404255319149
83345,WISER OIL CO,1972-12-14,11558,1311,"Crude Petroleum and Natural Gs",2,1,1998-12-31,2.125,19.023,8.0531,-2.73,231.81,-24.466,4.02655,-1.365
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",0.9375,0,1998-06-30,2,8.998,6.9427,-0.27,58.901,-1.219,7.40554666666667,-0.288
