permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10484,WESTON (ROY F)  -SER A,1986-07-17,12805,4955,"Hazardous Waste Management",2.0625,1,1999-12-31,2.0625,20.5363125,5.741,0.1,121.427,0.988,2.78351515151515,0.0484848484848485
11775,JOHNSON OUTDOORS INC  -CL A,1987-10-09,13906,3690,"Misc Elec Machy,Eq,Supplies",7.09375,1,1999-09-30,8.9375,72.6529375,15.645,0.87,302.562,7.022,2.20546255506608,0.122643171806167
11809,CLEAN HARBORS INC,1987-11-24,14027,4955,"Hazardous Waste Management",1.25,0,1999-12-31,1.25,13.4975,2.646,-0.25,145.247,-2.244,2.1168,-0.2
12248,PROVIDENCE AND WORCESTER RR,1988-08-10,14616,4011,"Railroads,Line-Haul Operatng",8,0,1999-12-31,8,34.248,15.569,0.71,86.371,3.026,1.946125,0.08875
14154,READING ENTERTAINMENT,1925-12-31,8975,7830,"Motion Picture Theaters",5.75,1,1999-12-31,5.75,42.83175,13.7847,-6.11,138.496,-41.182,2.39733913043478,-1.06260869565217
45583,ANGELICA CORP,1968-01-10,1655,7200,"Personal Services",9.75,1,1999-01-31,15,130.065,19.1216,0.99,339.09,8.892,1.96118974358974,0.101538461538462
55993,NAPCO SECURITY TECH INC,1981-12-29,7685,3669,"Communications Equip, Nec",3.1875,1,1999-06-30,3.5,12.215,8.9765,0.71,55.787,2.493,2.8161568627451,0.222745098039216
56040,NASH FINCH CO,1983-05-12,7691,5141,"Groceries, General Line-Whsl",6.375,1,1999-12-31,6.375,72.73875,15.1336,1.35,862.443,19.803,2.37389803921569,0.211764705882353
57780,NOLAND CO,1972-12-14,7917,5070,"Hardwr, Plumb, Heat Eq-Whsl",17.875,1,1999-12-31,17.875,66.155375,35.7098,2.22,233.619,8.147,1.99775104895105,0.124195804195804
65429,TRINITY PLACE HOLDINGS INC,1983-09-23,10235,6512,"Operators-Nonres Bldgs",5,1,1999-02-28,7.9375,135.128,15.1997,1,298.742,17.449,3.03994,0.2
