permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10484,WESTON (ROY F)  -SER A,1986-07-17,12805,4955,"Hazardous Waste Management",4,1,1996-12-31,1998-03-31,3.5,33.8135,6.8409,-1.74,141.472,-16.655,-0.252004841882282,1.14059615675594,1.710225,-0.435
12005,DATRON SYSTEMS INC/DE,1985-03-26,3796,3663,"Radio, TV Broadcast, Comm Eq",8.625,1,1997-03-31,1997-06-26,9.125,24.263375,12.2633,0.1,56.476,0.268,0.00821884200196271,0.731967615309127,1.42183188405797,0.0115942028985507
19895,MEAD CORP,1935-12-20,7180,2621,"Paper Mills",27.9375,0,1996-12-31,1997-03-13,58.125,3030.405,43.0873,3.57,4985.9,195.3,0.0869391025641026,1.21950676638177,1.54227472035794,0.127785234899329
32299,GOLDFIELD CORP,1962-07-02,5218,1623,"Water,Sewer,Pipeline Constr",0.3125,1,1996-12-31,1997-03-26,0.25,6.71375,0.4507,-0.01,13.652,-0.338,-0.0271638672345897,0.0971630635698787,1.44224,-0.032
33937,MAINE & MARITIMES CORP,1962-07-02,6963,4911,"Electric Services",11.875,1,1996-12-31,1997-03-19,18.125,29.308125,23.5572,1.31,116.714,2.111,0.0554184605691484,2.06400294024992,1.98376421052632,0.110315789473684
38033,WEYCO GROUP INC,1962-07-02,11455,5130,"Apparel, Piece Gds, Notns-Whsl",24,1,1996-12-31,1997-03-25,40.24999523,63.87674243001,37.2426,4.97,73.077,8.072,0.136572820790471,0.236413779101245,1.551775,0.207083333333333
38746,AMREP CORP,1962-12-12,1618,6552,"Subdivide, Dev, Ex Cemetery",5.625,1,1997-04-30,1997-07-29,3.625,26.712625,10.2909,0.99,205.311,7.282,0.096025529445895,1.70737400110768,1.82949333333333,0.176
42112,PS GROUP HOLDINGS INC,1965-06-21,8248,7359,"Equip Rental and Leasing, Nec",11.5,1,1996-12-31,1998-03-26,13.5,81.918,20.3677,1.58,298.689,9.61,0.0777564709404407,1.41675364711023,1.77110434782609,0.137391304347826
44708,FARAH INC,1967-07-17,4573,2320,"Mens,Boys Frnsh, Work Clthng",5.1875,1,1996-10-31,1997-01-27,7.125,72.482625,8.0743,0.66,153.863,6.756,0.0822498173849525,0.87317993669345,1.55649156626506,0.127228915662651
44776,INTERFACE SYSTEMS INC,1983-04-11,6035,7373,"Cmp Integrated Sys Design",2.75,1,1996-09-30,1997-12-29,5.625,25.515,4.6854,-0.44,38.879,-1.963,-0.0923634310450289,0.829341739989649,1.70378181818182,-0.16
67029,ITERIS INC,1984-11-07,8087,8711,"Engineering Services",5.0625,1,1997-03-31,1997-06-30,13.125,83.7375,8.1235,0.55,100.938,3.73,0.071968819942888,0.91832600138921,1.60464197530864,0.108641975308642
67300,ROBINSON NUGENT INC,1978-10-20,9186,3678,"Electronic Connectors",4.25,1,1996-06-30,1996-09-25,6,29.352,6.1259,-0.4,51.466,-2.159,-0.0720435130806193,0.717365189535505,1.44138823529412,-0.0941176470588235
68398,ECC INTERNATIONAL CP,1980-02-21,4223,3690,"Misc Elec Machy,Eq,Supplies",3.1875,1,1996-06-30,1997-10-14,9.125,71.476125,6.7503,0.36,95.397,2.878,0.0544302600472813,0.804198581560284,2.11774117647059,0.112941176470588
72486,STANDARD MICROSYSTEMS CORP,1972-12-14,9999,3674,"Semiconductor,Related Device",8.5,1,1997-02-28,1997-06-09,8.5,117.946,12.3809,-1.54,234.056,-21.297,-0.123966076241145,0.296058720466597,1.45657647058824,-0.181176470588235
74406,TRC COS INC,1978-07-12,10297,8711,"Engineering Services",3.875,1,1996-06-30,1996-09-26,5.875,41.236625,6.3753,-0.19,64.235,-1.315,-0.0293867882363458,0.43548315008492,1.64523870967742,-0.0490322580645161
74836,TECHNICAL COMMUNICATIONS CP,1983-09-16,10364,3663,"Radio, TV Broadcast, Comm Eq",5.6875,0,1996-09-30,1997-01-10,12.25,15.3615,8.3995,0.42,16,0.532,0.0505079274660591,0.519035412513054,1.47683516483516,0.0738461538461538
74895,TCI INTL INC,1982-02-02,10379,3812,"Srch,Det,Nav,Guid,Aero Sys",4.75,1,1996-09-30,1996-12-30,6.625,21.060875,8.1831,0.31,39.192,1.056,0.0405935265626201,0.506573383562697,1.72275789473684,0.0652631578947368
80857,VILLAGE SUPER MARKET  -CL A,1972-12-14,11178,5411,"Grocery Stores",10.15625,0,1996-07-31,1996-10-24,8.5,24.735,18.9027,0.69,131.062,2.006,0.0364680858799789,1.38264220917338,1.86118892307692,0.0679384615384615
87127,CYPRUS AMAX MINERALS CO,1985-05-30,11993,1000,"Metal Mining",15.125,1,1996-12-31,1997-03-26,23.5,2191.2105,22.8091,0.62,6786,77,0.0326271186440678,1.80889830508475,1.50803966942149,0.0409917355371901
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",1.75,0,1996-06-30,1996-09-27,5,22.495,7.383,0.45,64.311,2.042,0.0614763969171484,0.936145231213873,4.21885714285714,0.257142857142857
