permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10051,SEQUEL CORP,1986-02-14,16456,8093,"Spec Outpatient Facility,Nec",1.3125,0,1999-12-31,10,189.1,9.1441,0.47,750.081,10.986,0.0473250940169467,2.23117184100905,6.96693333333333,0.358095238095238
10886,DIXIE GROUP INC,1986-11-25,4001,2273,"Carpets and Rugs",2.375,0,1999-12-31,7.375,89.746375,9.6894,1.09,391.901,17.191,0.145797642269528,2.32372996353151,4.07974736842105,0.458947368421053
12458,RYERSON HOLDING CORP,1925-12-31,5968,5051,"Metals Service Centers-Whsl",8.25,1,1999-12-31,19.4375,481.544625,28.0294,1.56,1387.2,55.7,0.0798222986529092,0.987962166809974,3.39750303030303,0.189090909090909
18286,RAYTECH CORP,1929-09-19,8964,3490,"Misc Fabricated Metal Prods",2.1875,0,1999-12-31,3.375,11.748375,23.2083,4.76,188.686,16.364,0.202554834876467,1.33556963905531,10.6095085714286,2.176
21338,FEDERAL-MOGUL HOLDINGS CORP,1940-07-22,4600,3714,"Motor Vehicle Part,Accessory",2.3125,0,1999-12-31,20.125,1417.262875,28.9905,3.96,9945.2,243.2,0.117193523515806,3.77298573631457,12.5364324324324,1.71243243243243
27909,CULP INC,1983-08-30,3647,2211,"Brdwoven Fabric Mill, Cotton",2,0,2000-04-30,5.8125,65.1523125,11.4674,0.81,342.878,9.38,0.0729745289330782,1.66752244472452,5.7337,0.405
30307,DIXON TICONDEROGA CO,1972-12-14,4005,3950,"Pens,Pencils,Oth Artist Matl",2.625,0,1999-09-30,8.125,27.5925,8.9014,1.95,92.888,6.682,0.22104601541566,2.05517880181283,3.39100952380952,0.742857142857143
35238,PEP BOYS-MANNY MOE & JACK,1962-07-02,8475,5531,"Auto and Home Supply Stores",3.625,0,2000-01-31,7.25,369.7065,12.909,0.58,2072.672,29.303,0.0445142218252304,2.14859847725298,3.56110344827586,0.16
35554,M & T BANK CORP,1972-12-14,4699,6020,"Commercial Banks",68,1,1999-12-31,414.25,3199.667,232.6574,34.05,22409.115,265.626,0.147812576862251,11.4699729444878,3.42143235294118,0.500735294117647
37402,FOSTER (LB) CO,1981-06-09,4860,5051,"Metals Service Centers-Whsl",2.5,0,1999-12-31,4.875,46.990125,7.7446,0.48,164.731,2.503,0.0335298057602143,1.20671131949096,3.09784,0.192
38295,SPECTRUM BRND HLDG INC,1962-07-02,11670,3634,"Electric Housewares and Fans",1.5625,1,1999-12-31,4.625,110.486625,8.2986,-0.85,299.814,-20.332,-0.102559963681303,0.216086156019067,5.311104,-0.544
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",1.8125,0,1999-09-30,24.375,419.88375,9.5036,-4.2,205.824,-50.009,-0.305474958615592,0.257255251696608,5.24336551724138,-2.31724137931035
