permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10051,SEQUEL CORP,1986-02-14,16456,8093,"Spec Outpatient Facility,Nec",5.71000003814697,0,2004-12-31,8.1,175.1706,7.8695,-1.3,703.306,-23.394,-0.112435477204349,2.38020628069939,1.37819613790298,-0.227670751543792
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",5.69999980926514,0,2004-01-31,7.5,270.7425,11.058,0.5,817.758,23.067,0.0577853821796465,1.04857409114594,1.94000006491678,0.0877193011808998
10568,SERVIDYNE INC,1982-06-29,1082,8700,"Engr,Acc,Resh,Mgmt,Rel Svcs",4.34999990463257,1,2004-04-30,4.07,12.9426,6.2887,-1.58,61.876,-1.85,-0.0925092509250925,2.09410941094109,1.44567819261393,-0.363218398767633
10644,THERAGENICS CORP,1986-09-09,12691,3842,"Ortho,Prosth,Surg Appl,Suply",3.01999998092651,1,2004-12-31,4.06,121.75534,4.6037,-0.14,148.678,-4.31,-0.0312183108793278,0.0769085904679125,1.52440398313765,-0.0463576161868217
11607,DANA INC,1925-12-31,3734,3714,"Motor Vehicle Part,Accessory",7.17999982833862,1,2004-12-31,17.33,2597.43773,16.0861,0.44,9019,62,0.0257154707590212,2.69017005391954,2.24040395328563,0.0612813385124846
18286,RAYTECH CORP,1929-09-19,8964,3490,"Misc Fabricated Metal Prods",1.25999999046326,0,2004-12-31,1.84,76.79608,1.7534,-0.07,205.686,-2.75,-0.0375785733807051,1.67376332331238,1.39158731212001,-0.0555555559760467
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",15.539999961853,1,2004-06-30,16.15,107.34905,24.4145,-0.35,218.924,-2.352,-0.0144932001503546,0.349026084063026,1.57107464993126,-0.0225225225778099
27909,CULP INC,1983-08-30,3647,2211,"Brdwoven Fabric Mill, Cotton",4.78999996185303,1,2004-04-30,8.61,99.41967,8.9539,0.63,193.728,7.22,0.0698319969823292,0.873741428170731,1.86929020277824,0.131524009398172
33937,MAINE & MARITIMES CORP,1962-07-02,6963,4911,"Electric Services",15.4899997711182,1,2004-12-31,26.35,43.1086,29.4358,1.07,150.806,1.318,0.0273688145025645,2.13154889216521,1.90030990541939,0.0690768247779489
38295,SPECTRUM BRND HLDG INC,1962-07-02,11670,3634,"Electric Housewares and Fans",5.76999998092651,0,2004-12-31,59.9,143.2808,77.8905,1.56,362.489,3.733,0.0200360681430274,0.518828429425593,13.4992201486096,0.27036395236686
51693,MARSH SUPERMARKETS  -CL B,1972-12-14,7066,5411,"Grocery Stores",8.76000022888184,1,2004-03-31,12.45,98.9526,16.1394,0.38,542.405,3.037,0.0236755121768686,3.228421528579,1.8423972121357,0.0433789943003808
63773,TELEPHONE & DATA SYSTEMS INC,1981-12-15,10411,4812,"Radiotelephone Communication",36.0299987792969,1,2004-12-31,76.95,4419.7002,55.648,0.74,11012.603,49.004,0.0153134628725711,2.2852930882546,1.54449075452025,0.0205384408845778
