permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",6.57999992370605,0,2006-01-31,2006-03-09,5.24,160.46452,12.3604,0.09,800.323,0.609,0.00160893181722112,1.11439267447267,1.87848026494174,0.0136778117087438
10568,SERVIDYNE INC,1982-06-29,1082,8700,"Engr,Acc,Resh,Mgmt,Rel Svcs",4.17999982833862,1,2006-04-30,2006-07-31,4.45,15.7174,5.9306,-0.06,52.41,0.526,0.0251109944144746,1.50202893015706,1.41880388601766,-0.014354067575129
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",16.25,1,2005-06-30,2005-09-13,18.24,121.55136,25.274,0.61,224.114,4.029,0.0239214848063838,0.330637787514992,1.55532307692308,0.0375384615384615
26710,LOEWS CORP,1959-03-09,6781,6331,"Fire, Marine, Casualty Ins",41.4700012207031,1,2005-12-31,2006-02-16,94.85,17627.58795,70.4456,5.07,70675.6,1211.6,0.0925443588118025,4.24107667982982,1.69871227215762,0.122257049692801
38295,SPECTRUM BRND HLDG INC,1962-07-02,11670,3634,"Electric Housewares and Fans",7,1,2005-12-31,2006-04-05,5.77,110.4955,8.9652,-0.3,294.354,-9.176,-0.053447030591086,0.365398056895226,1.28074285714286,-0.0428571428571429
44230,P & F INDUSTRIES  -CL A,1967-03-01,8229,3540,"Metalworking Machinery and Eq",11,1,2005-12-31,2006-03-28,12.0001,42.840357,13.3658,1.36,86.834,6.571,0.137710621175287,0.819808869142426,1.21507272727273,0.123636363636364
64390,PROGRESSIVE CORP-OHIO,1972-12-14,13341,6331,"Fire, Marine, Casualty Ins",24.2199993133545,1,2005-12-31,2006-01-18,116.78,23040.694,30.9554,7.08,18898.6,1393.9,0.228227589029881,2.09432664756447,1.2780925217835,0.292320404654025
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",14.0900001525879,1,2005-11-30,2006-02-13,13.83,312.03246,17.6694,-0.3,485.864,-9.591,-0.0239083451117642,0.211156729160902,1.2540383114726,-0.0212916960078882
75773,COMMUNITY FINANCIAL CORP/VA,1989-05-31,17861,6035,"Savings Instn,Fed Chartered",11.7200002670288,1,2006-03-31,2006-05-05,22.2,47.0862,16.5799,2.04,422.606,4.268,0.121367229710516,11.017460046636,1.41466720326306,0.174061429481279
76209,SIX FLAGS ENTERTAINMENT CORP,1977-10-28,10567,7996,"Amusement Parks",5.23999977111816,1,2005-12-31,2006-03-08,7.71,718.58742,7.4484,-1.19,3493.119,-110.938,-0.113482388635599,2.51566676452747,1.42145044376798,-0.227099246560858
