permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10383,CYTOGEN CORP,1986-06-18,12274,2835,"In Vitro,In Vivo Diagnostics",0.490099996328354,1,2006-12-31,2007-02-28,2.33,68.98198,1.2721,-0.64,54.353,-15.103,-0.401014284955658,0.443178800913387,2.5955927556215,-1.30585595754875
17523,SPARTON CORP,1929-03-28,9922,3679,"Electronic Components, Nec",5.25,0,2006-06-30,2006-09-01,8.5,79.832,10.312,0.01,150.058,0.098,0.00101187403200826,0.549385647909138,1.96419047619048,0.0019047619047619
44230,P & F INDUSTRIES  -CL A,1967-03-01,8229,3540,"Metalworking Machinery and Eq",5.30999994277954,1,2006-12-31,2007-03-29,11,39.358,14.3994,1.06,90.317,3.881,0.0753285068224607,0.75301333436851,2.71175144165116,0.199623354316863
51984,MAX & ERMAS RESTAURANTS,1983-10-05,7132,5812,"Eating Places",2.05999994277954,1,2006-10-31,2006-12-14,8.15,20.7988,5.1074,-0.18,72.355,-0.579,-0.0444222801902716,4.55125057541814,2.47932045721741,-0.0873786432038088
52708,LENNAR CORP,1971-06-23,6669,1531,"Operative Builders",17.5,0,2006-11-30,2007-01-17,52.5,8303.19,36.049,3.76,12408.266,593.869,0.104162471769953,1.1666491854943,2.05994285714286,0.214857142857143
64565,COUNTRYWIDE FINANCIAL CORP,1979-03-12,3555,6162,"Mortgage Bankers and Loan Corr",8.75,1,2006-12-31,2007-01-30,42.45,24840.9759,24.4673,4.42,199946.23,2674.846,0.186819022917274,12.9648261337634,2.79626285714286,0.505142857142857
65285,HOVNANIAN ENTRPRS INC  -CL A,1983-09-16,5750,1531,"Operative Builders",6.80999994277954,1,2006-10-31,2006-12-18,30.85,1906.86935,29.156,2.21,5480.035,149.533,0.0769930227277525,1.75339917401372,4.2813509904524,0.324522763372884
72696,CALATLANTIC GROUP INC,1987-01-30,10002,1531,"Operative Builders",3.28999996185303,1,2006-12-31,2007-02-01,26.79,1725.89217,27.3873,1.9,4502.941,123.693,0.0701060435169494,1.51288221858227,8.32440739135286,0.577507605480293
74932,TECUMSEH PRODUCTS CO,1972-12-14,10386,3585,"Air-Cond, Heating, Refrig Eq",19.2999992370605,1,2006-12-31,2007-04-10,16.9,312.312,43.2035,-7.03,1782.7,-80.3,-0.100576152304609,1.23284068136273,2.23852340455222,-0.364248719062162
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",5.42500019073486,1,2006-12-31,2007-03-30,6.65,27.7172,10.7579,0.04,108.911,0.172,0.00383594638595865,1.41544191440487,1.98302297175454,0.00737327163016775
75175,MBIA INC,1987-07-01,13561,6351,"Surety Insurance",18.7399997711182,0,2006-12-31,2007-01-30,73.06,9851.0451,53.4301,6.12,39763.03,819.288,0.113722808773816,4.51938202067834,2.85112596865373,0.326574176880837
76209,SIX FLAGS ENTERTAINMENT CORP,1977-10-28,10567,7996,"Amusement Parks",2.05999994277954,0,2006-12-31,2007-03-15,5.24,494.5774,3.9852,-2.43,3187.616,-305.618,-0.462611085967029,3.74938733374001,1.93456316053233,-1.17961168325142
76322,ASHWORTH INC,1990-05-02,21519,2320,"Mens,Boys Frnsh, Work Clthng",2.64000010490417,0,2006-10-31,2007-01-10,7.02,101.9304,7.4817,0.07,164.043,0.951,0.00875416536259366,0.510052101552,2.83397716011514,0.0265151504615341
76757,AMBAC FINANCIAL GROUP INC,1991-07-11,24287,6351,"Surety Insurance",25.1200008392334,0,2006-12-31,2007-01-31,89.07,9417.3711,58.4904,8.22,20267.813,875.911,0.141637165358303,2.27735989310805,2.32843941265509,0.327229288430663
76804,MGIC INVESTMENT CORP/WI,1991-08-07,24379,6351,"Surety Insurance",21.8500003814697,1,2006-12-31,2007-01-11,62.54,5178.312,51.8826,6.7,6621.671,564.739,0.131460700574062,0.541401441428607,2.37448966106197,0.306636150252979
77011,ZOOM TECHNOLOGIES INC -OLD,1990-09-27,23197,3661,"Tele and Telegraph Apparatus",0.629999995231628,1,2006-12-31,2007-02-16,1.12,10.46864,1.3183,0.11,16.249,1.03,0.0835903262457393,0.31869826326895,2.09253969837779,0.174603175924719
77165,SANFILIPPO JOHN B&SON,1991-12-04,24755,2060,"Sugar and Confectionery Prods",8.0600004196167,0,2006-06-30,2006-09-07,13.25,140.344,17.0043,-1.58,390.912,-16.721,-0.0928377102881572,1.17040697351618,2.10971453036334,-0.19602976646931
77599,AUTHENTIDATE HOLDING -OLD,1992-05-13,25241,7372,"Prepackaged Software",0.639999985694885,1,2006-06-30,2006-09-13,2.65,91.19445,1.6369,-0.52,64.534,-17.823,-0.316375255169965,0.145540072778912,2.55765630716807,-0.812500018160791
77669,FINISH LINE INC  -CL A,1992-06-09,25357,5661,"Shoe Stores",2.29999995231628,0,2007-02-28,2007-03-08,12.71,599.41631,9.5265,0.68,656.636,32.364,0.0720355770814507,0.461536064530202,4.14195660761039,0.29565218004252
77780,CENTRAL GARDEN & PET CO,1993-07-15,25536,5140,"Groceries and Related Pds-Whsl",5.65999984741211,0,2006-09-30,2006-12-07,48.26,1141.87986,30.7408,2.9,1533.823,65.534,0.0897284759960513,1.09849676665859,5.43123689553727,0.512367504978989
78038,RADIAN GROUP INC,1992-10-30,25895,6351,"Surety Insurance",11.6999998092651,0,2006-12-31,2007-01-23,53.91,4280.56182,51.2274,7.16,7928.671,582.172,0.143125714034247,0.949246439570484,4.37841032778766,0.611965821942157
78044,UNIFI INC,1972-12-22,10839,2200,"Textile Mill Products",2.36999988555908,1,2006-06-30,2006-08-03,2.9,151.4032,7.3351,-0.28,732.637,-14.366,-0.0375137418952195,0.913125109347622,3.09497905240179,-0.118143465620442
78908,ROCKY BRANDS INC,1993-02-03,27776,3140,"Footwear, Except Rubber",6.25,1,2006-12-31,2007-03-07,16.12,87.32204,19.2224,0.89,246.356,4.819,0.0462795789797173,1.36589582052858,3.075584,0.1424
80193,BEAZER HOMES USA INC,1994-02-23,29755,1531,"Operative Builders",7.1100001335144,1,2006-09-30,2006-11-07,39.04,1518.2656,43.7625,9.76,4559.431,388.761,0.228424552697155,1.67898782729888,6.15506317555702,1.37271446086116
80237,AROTECH CORP,1994-02-24,29762,3690,"Misc Elec Machy,Eq,Supplies",2,0,2006-12-31,2007-03-29,3.05,36.5512,4.5861,-1.87,75.068,-15.569,-0.283278748180495,0.365465793304221,2.29305,-0.935
80969,COVENANT LOGISTICS GROUP INC,1994-10-28,30877,4213,"Trucking, Except Local",6.69999980926514,0,2006-12-31,2007-01-25,11.4,159.6114,13.4879,-0.1,475.094,-1.381,-0.00731291436317807,1.51580140221559,2.01311946029434,-0.0149253735592222
81124,EMERSON RADIO CORP,1994-12-22,4322,3651,"Household Audio and Video Eq",1.25989997386932,1,2007-03-31,2007-06-29,3.2,86.752,2.5898,0.13,99.408,3.458,0.0468011964215627,0.345405822404483,2.05556000770949,0.103182794425142
82497,1ST INDEPENDENCE FINL GROUP,1995-10-04,61390,6020,"Commercial Banks",9.76000022888184,0,2006-12-31,2007-05-09,16.4,32.7344,20.1919,1,342.806,1.94,0.0481353745378756,7.50571917723246,2.06884216459832,0.102459013990675
82639,IMPAC MORTGAGE HOLDINGS INC,1995-11-21,61586,6162,"Mortgage Bankers and Loan Corr",0.519999980926514,0,2006-12-31,2007-02-23,8.8,669.5392,13.2665,-1.18,23598.955,-75.273,-0.0745624201361029,22.3761800045566,25.5125009357929,-2.26923085246566
82768,BLONDER TONGUE LABS INC,1995-12-14,61712,3663,"Radio, TV Broadcast, Comm Eq",1.60000002384186,1,2006-12-31,2007-04-03,1.7,10.5791,3.2512,-0.01,27.222,0.342,0.0169039145907473,0.345492289442467,2.03199996972084,-0.00624999990686774
83443,BERKSHIRE HATHAWAY,1996-05-09,2176,9997,"Industrial Conglomerates",4685,1,2006-12-31,2007-03-01,109990,169714.57,70265.068,7144,248437,11015,0.101596583624641,1.27058910338594,14.9978800426894,1.52486659551761
83862,E TRADE FINANCIAL CORP,1996-08-16,63501,6211,"Security Brokers and Dealers",3.53999996185303,0,2006-12-31,2007-01-18,22.42,9557.73568,9.8436,1.49,53739.303,628.859,0.149857853335144,11.8061403069796,2.78067799606623,0.420903959337913
