permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10421,SKYWEST INC,1986-06-26,12392,4512,"Air Transport, Scheduled",12.289999961853,1,2013-12-31,14.83,759.7409,28.0097,1.14,4233.219,58.956,0.0410860670732345,1.95010380232191,2.27906428697636,0.0927583404018269
11644,COMSTOCK RESOURCES INC -OLD,1987-08-28,23002,1311,"Crude Petroleum and Natural Gs",6.82000017166138,0,2013-12-31,18.29,872.08549,19.9661,-2.22,2139.398,36.287,0.0381163964474976,1.24725500391279,2.92758057147324,-0.325513188287677
13769,AMERICAN SHARED HSPTL SERV,1984-07-03,1559,8090,"Misc Health and Allied Svc,Nec",2.50999999046326,1,2013-12-31,2.77,12.76693,4.2569,-0.07,71.742,-0.312,-0.0159021406727829,2.43053007135576,1.69597610206139,-0.0278884463211015
24193,COAST DISTRIBUTION SYSTEMS,1983-12-13,3129,5013,"Motor Veh Suply,New Pts-Whsl",3.20000004768372,0,2013-12-31,3.27,16.50042,5.5569,-0.14,46.244,-0.637,-0.0227175463623395,0.649215406562054,1.73653122412367,-0.0437499993480742
24441,COEUR MINING INC,1979-07-25,3153,1040,"Gold and Silver Ores",5.28000020980835,1,2013-12-31,10.85,1115.84655,16.8273,-6.65,2885.978,-650.563,-0.37592476916525,0.667648811054412,3.18698850972409,-1.25946964692287
27422,CLEVELAND-CLIFFS INC,1960-07-27,3107,3310,"Steel Wrk, RollandFinish Mill",6.30999994277954,0,2013-12-31,26.21,4013.43246,34.8615,2.39,13121.9,413.5,0.0681275228602027,1.02769585633083,5.52480195184338,0.378763870312685
29050,DAWSON GEOPHYSICAL CO,1981-04-23,3806,1382,"Oil and Gas Field Expl Svcs",11.7399997711182,1,2013-09-30,32.47,261.61079,26.4441,1.31,289.027,10.48,0.049188022153384,0.356552144935699,2.25247874919518,0.111584329262319
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",17.5200004577637,1,2013-12-31,20.69,33.89022,31.7851,-0.52,71.962,-0.859,-0.0164989244007376,0.382183466502766,1.81421798912767,-0.0296803645213132
50243,SERVOTRONICS INC,1970-03-11,9619,3621,"Motors and Generators",6.30000019073486,0,2013-12-31,8.1001,18.5168286,10.3823,0.43,30.003,0.975,0.0410803067329569,0.26413583888093,1.64798407709079,0.0682539661875539
66739,SILVERBOW RESOURCES INC,1981-07-24,10221,1311,"Crude Petroleum and Natural Gs",4.34999990463257,1,2013-12-31,13.5,585.927,24.5461,-0.06,2698.505,-2.442,-0.00229220443985545,1.53297507861266,5.64278173290519,-0.0137931037506696
74932,TECUMSEH PRODUCTS CO,1972-12-14,10386,3585,"Air-Cond, Heating, Refrig Eq",3.66000008583069,0,2013-12-31,9.05,167.244,11.3799,-1.86,487.4,-37.5,-0.178316690442225,1.31764146457442,3.10926222216663,-0.50819670939375
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",9.27000045776367,1,2014-02-28,13,317.642,17.5814,-1.1,747.15,-26.597,-0.0619133859734068,0.739240753845581,1.89659106060513,-0.118662345812372
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",6.01000022888184,1,2013-12-31,4.99,20.80331,19.4867,1.33,93.813,5.518,0.0679222058099458,0.154763663220089,3.24237924423931,0.22129782851064
75175,MBIA INC,1987-07-01,13561,6351,"Surety Insurance",9.68000030517578,1,2013-12-31,11.94,2295.45306,17.0508,1.3,16953,250,0.0762660158633313,4.1653447223917,1.76144622545964,0.134297516427237
75215,CASH AMERICA INTL INC,1987-01-29,13032,5900,"Miscellaneous Retail",22.1499996185303,1,2013-12-31,38.3,1072.783,38.6442,4.97,2081.741,142.528,0.131674955170021,0.923223176152022,1.7446591722589,0.224379236369927
75326,ARCH RESOURCES INC,1988-08-11,14793,1220,"Bituminous Coal, Lignite Mng",1.83000004291534,0,2013-12-31,4.45,944.646,10.6145,-3.52,8990.193,-641.832,-0.284847347097458,2.98987994669031,5.80027308802148,-1.92349722265162
77175,AMERICAN SUPERCONDUCTOR CP,1991-12-12,24795,3621,"Motors and Generators",0.799600005149841,0,2014-03-31,1.61,126.98553,1.4233,-0.9,168.509,-56.258,-0.501144674369093,0.501073410595142,1.78001499603953,-1.12556277414148
77259,ALLIED HEALTHCARE PRODS INC,1992-01-14,24837,3842,"Ortho,Prosth,Surg Appl,Suply",1.5900000333786,1,2013-06-30,2.75,22.07425,3.1537,-0.16,29.339,-1.257,-0.0496543551254197,0.158957140035552,1.98345907785844,-0.100628928705124
78050,BOOKS-A-MILLION INC,1992-11-03,25896,5940,"Misc Shopping Goods Stores",1.73000001907349,0,2014-01-31,2.3068,35.3840052,7.1008,-0.51,302.732,-7.584,-0.0696297248413959,1.75122797675337,4.10450862526745,-0.294797684611086
78451,OPPENHEIMER HOLDINGS INC,1982-11-01,13453,6211,"Security Brokers and Dealers",23.2700004577637,1,2013-12-31,24.78,333.98484,38.7682,1.85,2952.72,25.061,0.0479619840847588,4.64069945915739,1.66601629726507,0.0795015025185689
79039,U S ENERGY CORP/WY,1975-02-26,10938,1311,"Crude Petroleum and Natural Gs",1.48000001907349,0,2013-12-31,3.76,104.28736,3.932,-0.28,126.801,-7.379,-0.0676618648963386,0.162703907131133,2.65675672251782,-0.189189186751015
79066,NEW CONCEPT ENERGY INC,1993-03-25,11372,6512,"Operators-Nonres Bldgs",1.25999999046326,0,2013-12-31,1.8199,3.5433453,3.5809,0.22,13.308,0.426,0.060237556561086,0.881787330316742,2.84198414849465,0.174603175924718
80274,SIGMATRON INTERNATIONAL INC,1994-02-09,29698,3672,"Printed Circuit Boards",6.96000003814697,0,2014-04-30,10.32,41.40384,13.8101,0.74,125.479,2.919,0.0526838248565137,1.26471862253186,1.98420975923971,0.106321838497722
81124,EMERSON RADIO CORP,1994-12-22,4322,3651,"Household Audio and Video Eq",1.05900001525879,0,2014-03-31,2.08,56.4304,2.6399,0.05,79.249,1.317,0.0174905043958671,0.0524715131876013,2.49282338240088,0.0472143524830653
