permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",0.610000014305115,0,2018-01-31,1.75,63.26075,4.3767,-1.18,247.906,-42.553,-0.268958499247854,0.566903055355405,7.17491786452783,-1.93442618414395
11394,THERMOGENESIS HOLDINGS INC,1987-06-05,13794,3821,"Lab Apparatus and Furniture",0.275000005960464,0,2017-06-30,3.17,31.43372,3.1098,-3.27,46.932,-29.095,-0.943509420501346,0.521937931705419,11.3083633912615,-11.8909088331806
26607,BIGLARI HOLDINGS INC,1972-12-14,3424,5812,"Eating Places",113.690002441406,1,2017-12-31,414.4,497.6944,475.7102,40.8,1063.584,50.071,0.0876396745827266,0.86159964153691,4.18427469244865,0.358870605364158
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",11.210000038147,1,2017-12-31,19,31.958,32.2961,1.08,82.489,1.818,0.0334671035676153,0.518519200323994,2.88100801874203,0.0963425509656397
45728,INVACARE CORP,1984-05-11,6158,3842,"Ortho,Prosth,Surg Appl,Suply",4.09999990463257,1,2017-12-31,16.85,553.30345,12.8908,-2.34,1066.033,-76.541,-0.180822312624323,1.51842218410844,3.14409763410842,-0.570731720592492
52396,SUPERIOR INDUSTRIES INTL,1971-05-04,10195,3714,"Motor Vehicle Part,Accessory",4.59000015258789,1,2017-12-31,14.85,370.01745,15.8037,-1.01,1551.252,-6.203,-0.0115195905466188,1.78436656180243,3.44307178096491,-0.22004356566972
59089,BRISTOW GROUP INC,1972-12-14,8092,4522,"Air Transport, Nonscheduled",2.08999991416931,1,2018-03-31,13,461.851,32.9578,-5.54,3165.002,-195.658,-0.167101805377273,1.69687699367405,15.7692829442528,-2.65071781220715
64020,LUBYS INC,1973-01-31,6831,5812,"Eating Places",1.17999994754791,1,2017-08-31,2.65,77.1786,4.9462,-0.77,226.457,-23.262,-0.161483353233555,0.57205037069947,4.19169510157896,-0.652542401887468
67838,CSS INDUSTRIES INC,1985-09-30,2556,2670,"Convrt Papr,Paprbrd,Ex Boxes",8.93000030517578,1,2018-03-31,17.5,159.6,27.8174,-4.01,365.188,-36.52,-0.14395238376791,0.439476536786298,3.11505028548288,-0.449048136949763
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",3.95000004768372,1,2018-02-28,5.4,130.6746,18.8416,0.03,575.644,35.304,0.0774298823550054,0.275307710528394,4.77002525887277,0.00759493661717599
75714,CLEARONE INC,1989-03-03,18549,3663,"Radio, TV Broadcast, Comm Eq",1.20000004768372,1,2017-12-31,8.95,74.45505,6.7997,-1.65,67.877,-14.172,-0.250534764085067,0.199939894284654,5.66641644150349,-1.37499994536241
77202,JANONE INC,1991-11-07,24660,4953,"Refuse Systems",0.504999995231628,1,2017-12-31,1.04,7.15,3.8164,0.88,46.891,0.118,0.00449729400106715,0.78714078816983,7.55722779413005,1.74257427387969
79573,UNIVERSAL SECURITY INSTRUMNT,1973-01-23,11027,3669,"Communications Equip, Nec",1.08000004291534,0,2018-03-31,1.4107,3.2629491,5.5136,-0.98,18.904,-2.262,-0.17737003058104,0.482317885987611,5.10518498232338,-0.907407371350282
80274,SIGMATRON INTERNATIONAL INC,1994-02-09,29698,3672,"Printed Circuit Boards",2.4300000667572,0,2018-04-30,6.78,28.5777,13.9526,-0.77,161.23,-3.242,-0.0551266791362013,1.7415405543275,5.74181054184889,-0.316872419278389
81084,HUDSON TECHNOLOGIES INC,1994-11-01,30899,5070,"Hardwr, Plumb, Heat Eq-Whsl",0.857100009918213,1,2017-12-31,6.07,257.35586,2.9118,0.27,321.444,11.157,0.090374474496367,1.60377633593351,3.39726982418056,0.315015747142232
84275,UNITED NATURAL FOODS INC,1996-11-01,63927,5140,"Groceries and Related Pds-Whsl",10.2600002288818,1,2017-07-31,38.53,1950.46566,33.2251,2.57,2886.563,130.155,0.0773847285336232,0.716229834813882,3.2383137679151,0.250487323846785
84302,AULT GLOBAL HOLDINGS INC,1996-12-17,64163,3679,"Electronic Components, Nec",0.110100001096725,1,2017-12-31,3.21,97.01262,0.5959,-0.88,30.51,-10.616,-0.589483036259648,0.650785718251985,5.41235235298944,-7.99273379867547
85757,AEROCENTURY CORP,1998-01-16,66301,7359,"Equip Rental and Leasing, Nec",9.09099960327148,1,2017-12-31,15.24,21.59508,33.4277,5.1,236.41,7.399,0.15620579728503,3.99102750860304,3.67701039036133,0.560994414537728
86113,AVALON HOLDINGS CORP,1998-06-23,110802,4955,"Hazardous Waste Management",2.6800000667572,0,2017-12-31,2,7.606,10.1094,-0.08,65.378,-0.307,-0.00798522603131665,0.645216667533684,3.77216408514212,-0.0298507455250925
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",0.805999994277954,0,2017-12-31,4.55,200.1363,8.1031,-0.85,720.296,-34.964,-0.0980925207398741,0.944329885338024,10.0534740167822,-1.05459057820647
89029,MOSYS INC,2001-06-28,141278,3674,"Semiconductor,Related Device",0.162000000476837,0,2017-12-31,1.11,8.95548,0.9105,-1.45,23.139,-10.668,-1.45221889463654,2.14987748434522,5.62037035382716,-8.95061725760503
89369,LANNETT CO INC,2002-04-15,22632,2834,"Pharmaceutical Preparations",5.09999990463257,1,2017-06-30,20.4,753.1476,15.1987,-0.02,1603.312,-0.581,-0.00103542545114966,1.85733227355192,2.98013731062903,-0.00392156870078234
89413,BIG 5 SPORTING GOODS CORP,2002-06-25,145041,5940,"Misc Shopping Goods Stores",2.55999994277954,1,2017-12-31,7.6,162.222,8.7641,0.05,445.06,1.104,0.00590156573243028,1.3791221420973,3.42347663902067,0.0195312504365575
90077,SUNSET FINANCIAL RES INC,2004-03-17,175674,6211,"Security Brokers and Dealers",8.73639965057373,0,2017-12-31,8.02,9.72826,32.8664,1.71,2036.258,2.064,0.0517656500802568,49.8621087479936,3.7620073845685,0.19573280394604
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",4.59999990463257,1,2017-12-31,3.11,1552.512,26.879,1.66,105297,817,0.0608883589208526,6.70509763004919,5.843260990708,0.360869572698957
90313,CHINA AUTOMOTIVE SYSTEMS INC,2004-08-24,149683,3714,"Motor Vehicle Part,Accessory",2.39190006256104,1,2017-12-31,4.8,151.8912,9.463,-0.61,717.369,-19.346,-0.0646055408618525,1.37332692153563,3.9562689713164,-0.255027377417627
90672,FREIGHTCAR AMERICA INC,2005-04-06,162742,3743,"Railroad Equipment",6.69999980926514,0,2017-12-31,17.08,211.7066,18.6956,-1.82,295.904,-22.562,-0.097362470439991,0.276923342481832,2.79038813913795,-0.271641798777845
91283,BATTALION OIL CORP,2006-05-09,174169,1311,"Crude Petroleum and Natural Gs",1.72000002861023,0,2017-12-31,7.57,1130.79903,7.1764,3.67,1643.62,535.686,0.499708021843324,0.533230472444911,4.17232551199349,2.13372089474055
91727,TRAVELCENTERS OF AMERICA INC,2007-02-01,148350,5500,"Auto Dealers, Gas Stations",3.72000002861023,1,2017-12-31,4.1,163.9344,14.152,0.23,1617.854,9.262,0.0163682376310413,1.85658970896984,3.80430104601023,0.0618279565137333
92433,RESHAPE LIFESCIENCES INC,2007-11-15,178847,3845,"Electromedical Apparatus",0.259700000286102,1,2017-12-31,1.48,45.81636,1.6199,-3.07,88.705,-33.818,-0.442835256066102,0.161561931200649,6.23758181831119,-11.8213322934844
